Cumle;Sinif
Batı hakimiyeti ne binlerce yıl önceden belirlenmişti  ne de yakın geçmişteki tesadüflerin bir ürünüydü ;1
Yaklaşık 800 bin yıl önce buraya kocaman bir göktaşı çarpmıştı ;1
Elbette 50 bin yıldan daha yeni Homo sapiens yerleşimlerini kazmadıkları sürece ;1
Homo sapiens buraya yaklaşık 160 bin yıl önce yerleşti ;1
90 bin yıl öncesine gelindiğinde Kongo'daki Katanda'da insanlar adamakıllı balıkçıya dönüşmüş  kemikten zıpkınlar yapar olmuşlardı ;1
000 arasında yer alan iki buzul çağı –insan evriminde hayati binyıllardır bunlar– özellikle sert geçmiştir ;1
000 civarında hayatta kalabilen Homo sapiens sayısının güç bela 20 bin kadar olabileceğini tahmin etmekte ;1
Bunlar Homo sapiens için kara günlerdi  ama 70 bin yıl kadar önce talihleri döndü ;1
Birkaç bin yıl içinde ilk insanlar biyolojik olduğu kadar demografik bir dönüm noktasına ulaştılar ;1
Neandertaller Avrupa'ya 150 bin yıl hükmettikten sonra öylece ortadan kaybolmuştu ;1
Tek gerçek değişim Havva'nın yaşadığı çağın 150 bin yıl önceye kaydırılması oldu ;1
Fakat hava sıcaklıkları yaklaşık 15 bin yıl önce yükselmeye başlamıştır ;1
Takriben 13 bin 500 yıl önce son sanatçı da buraları terk etti ;1
Yanıtının  yaklaşık 15 bin yıl önce Çekirdek Bölge'de yaşayan kadınların maharetinden geldiğini gösteriyor ;1
Yarı yarıya toprağa gömülü dairesel kulübeler  öğütme taşları  ocaklar ve binlerce karbonlaşmış tohum buldular ;1
Binlerce yıl öncesine bakarken bu ciddi bir sorundur  çünkü eldeki kanıtlar çok fazla değişiklik gösterir ;1
Londra'da insanlar işe giderken metroya binmeyi tercih eder;2
yüzyılda  kişi başına elde edilen enerjiyi günlük 31 bin kilokalori olarak hesaplıyorum ;1
Binlerce işçi taşocaklarından çıkardıkları taşları Nil üzerinden taşıyıp yerine sürükleyerek onlarca yıl çalıştı ;1
Bu vergi makbuzlarından 40 bini yayımlanmıştır  daha binlercesi de araştırılmayı beklemektedir ;1
Taosi  belki 10 bin sakiniyle  bu dönemlere ait bilinen en büyük yerleşimdir ;1
Taosi'de binlerce gömü kazılmıştır ve bunlar çok dik bir toplumsal hiyerarşinin ipucunu verir ;1
Saray I'i destekleyen bir platformun tamamlanması 100 bin işgününü almış olmalıydı ;1
Bir tahmine göre  bunu inşa etmek 10 bin işçinin 8 yılını almış olabilirdi ;1
Mısır'daki Teb veya Babil gibi en büyük kentler belki 80 bin nüfusa sahipti ;1
Binlerce okuryazar katip ve filizlenme halinde kütüphaneler vardı ;1
Bu kuşkusuz  arkeologların binlerce yıl önceki tarımın yayılması hakkında ulaştıkları sonuçla aynı ;1
200 bin pek özel sayılmıyordu ve gerçekten güçlü ordular bunun iki katı oluyordu ;1
Bir metinde  MÖ 364'te bir Qin ordusunun Wei'den 60 bin askeri katlettiği söylenir ;1
Kartacalılar fırtınanın içine çektikleri Roma'nın ilk donanmasını  100 bin denizcisiyle birlikte  denizin dibine gönderdiler ;1
Kabilenin her üyesi at sırtında kış ve yaz otlakları arasında binlerce kilometre gidip geliyordu ;1
Eskidünya çiftçileri  binlerce yıl önce köyleri doldurmaya başladıklarından beri çok iğrenç bir virüs takımı geliştirmişlerdi ;1
Binyıllar boyunca bu insanlar kendi biyolojik savunmalarını gen havuzu aracılığıyla yaydı ;1
Hastalık bir yıl sonra Konstantinopolis'e kadar gelerek muhtemelen 100 bin can aldı ;1
Çaylaklar atlarına bindi ve efendilerini bekledi ;2
700'e gelindiğinde Konstantinopolis'in ancak 50 bin civarında sakini kalmıştı ;1
Bilgili doktor o yılın Aralık ayında Kahire'ye gidip 140 bin belgeyle Cambridge'e geri döndü ;1
On binlerce köylü Orta Avrupa'yı yağmalayarak ve yollarına çıkan Yahudileri katlederek doğuya doğru yürüyüşe geçti ;1
On bin kişi çalışıyor  bin kişinin nezaretinde ;1
Binbir incelikte bir kılıç dökerler size   Koca bir eşkıya çetesini kıymaya doğrayacak keskinlikte ;1
000'de kabaca aynı düzeyden MÖ/MS 1'de 31 bin kilokaloriye (33 70) çıkmıştı ;1
Gemilere binip kaçmasalardı  Song sarayının çaresiz kalıntılarını da yutardı ;2
yüzyıl sonunda yerleşimciler her yıl 600 bin tonu aşkın şeker ihraç eder olmuşlardı ;1
Ve bazılarının diğerlerini ele vermesiyle  halka ait binlerce hane etkilendi ;1
diye haykırdıktan sonra kralı  ailesini ve devrimci yoldaşlarından binlercesini idam ettiler ;1
62 Bunu izleyen  1782'de tamamlanan Dört Hazine Kütüphanesi  parmak ısırtacak şekilde 36 bin cilt dolduruyordu ;1
Batı'da Londra'nın 600 bin sakine sahip olması olasıyken  İstanbul'un nüfusu da belki 700 bin kadardı ;1
Üretim 1790'da 3000 balyadan 1810'da 178 bin ve 1860'ta 4 5 milyon balyaya kadar yükseldi ;1
"1800'de 79 bin New Yorklu vardı; 1890'da 2 5 milyon olmuşlardı ";1
Macaristan'da  tatil yapan  binlerce Doğu Alman  arabalarından inip sınırı geçerek özgürlüğe yürüdüler ;1
Hiç kimse üzerlerine ateş açmayınca  binlercesi Batı Berlin'e geçti ;1
Binlerce yıllık toplumsal gelişme grafikten silinip giderdi ;1
Buzul Çağı ile MS 2000 arasındaki 14 bin yılda toplumsal gelişme 900 puana yükseldi ;1
Binlerce Blue Gene'i birbirine bağlayacak daha da ihtiraslı Kittyhawk Projesi 2020'lerde tamamlanmaya yaklaşmış olabilir ;1
48  Dönüp son 15 bin yıla bakınca  Einstein tarihin yönünü doğru yargılamışa benziyor ;1
Sadece Çin'de her gün 14 bin yeni araba trafiğe çıkıyor ;1
15 bin yıl önce  Buzul Çağı sona ermeden Doğu ve Batı pek az anlam taşıyordu ;1
1700'de Batı çekirdeğindeki insan ortalama 30 bin ila 35 bin kkal/gün tüketiyor olmalıydı ;1
yüzyılda bile 25 bin kkal/kişi/gün'den aşağı düştüğünü ben sanmıyorum ;1
binyıldan hala yüksek olan 20 bin kkal/kişi/gün olduğunu ileri sürmek istiyorum ;1
Doğu çekirdeğindeki enerji elde etme düzeyinin 1400'de 29 bin ve (18 ;1
yüzyılda büyük ölçüde artmasıyla) 1800'de 36 bin kkal/gün olduğunu hesapladım ;1
İnsanlığın birliği yeniden sağlandı: Tamamen modern insanların kabaca 60 12 bin yıl önceki dönemde Afrika'dan yayılması ;1
Sonradan bu davetten bin çeşit melanet doğacaktı ;1
Eöl atına binip şöyle dedi:  Zor zamanda  Efendi Curufin  nazik akrabalar bulmak güzel şey ;2
" Atını   dedi   Lúthien'in binmesi için alıyorum; herhalde böyle bir efendiden kurtulduğu için mutlu sayılır  ";2
Çünkü Huan bir kez daha sırtına binmesine razı olmuş  Beren'in geçtiği yolda hızla ilerlemekteydi ;2
Menegroth:  Bin Mağara   Thingol ve Melian'ın  Doriath'ta Esgalduin Nehri'ndeki gizli salonları ;1
Yani koskoca Profesör Tolkien  bin küsur sayfa boyunca resmen  Kaçış Edebiyatı  yapıyor ;1
İsengrim'in oğlu Bandobras Took (Boğakükreten) bir buçuk metre kadarmış ve ata bile binebiliyormuş ;2
Orada bin yıl boyunca savaşlardan pek rahatsız olmamışlardı ;1
Fakat yaklaşık bin yıldır kral yoktu ve Kralın Norbury'sini bile otlar bürümüştü ;1
Bir midilliye biniyordu ve boynuyla çenesine sisten korunmak için bir eşarp sarmıştı ;2
 Kara atlara binen  kara şekiller   diye cevap verdi Pippin ;2
Sabah midilliye bineceği için sevinçliydi ;2
Midillilere bindiler ve vakit kaybetmeden  önlerinde gönülsüzce açılan ve ardlarından amansızca kapanan sisin içine daldılar ;2
Sonra midillilerine binip  yollarını zeminin yükseliş ve alçalışlarına göre çıkarmaya çalışarak tekrar yavaş yavaş ilerlediler ;2
Ama şimdi  güzel Hantal'ım  yaşlı Tom sana binecek ;2
İlk uçağa bin ve Amerika'ya uç ;2
Çünkü midilliye binmiş hobbitlerin yanında yayan koştururken  bir de sohbet etmek zor iştir hani  ;2
"Midillilerinin önüne düşüp tepeden aşağıya indiler; sonra binip çabuk çabuk vadiden seyirttiler ";2
 Siz benim atıma bineceksiniz   dedi Glorfindel ;2
 Beni Ayrıkvadi'ye veya herhangi bir yere taşıyıp arkadaşlarımı arkada tehlike içinde bırakacaksa  o ata binmem  ;2
"Buna Frodo'nun verebileceği bir cevap yoktu; Glorfindel'in ak atına binmeye ikna oldu ";2
Her zaman bir uçağa binmenin ve bulutların üstüne gitmenin nasıl bir his olduğunu merak ederdi ;2
Atına binmeden yanında yürüdü ;2
 Hızlı küheylanlara binmiş bir sürü atlı bize doğru geliyor  ;2
Rüzgar gibi biniyorlardı ata ;2
Gandalf artık ata binemeyecek ;2
 Fakat şimdi binmen gerek  yoksa bizi yavaşlatırsın   dedi Aragorn ;2
 Gel  benim arkama bin Gimli dostum   dedi Legolas ;2
"Koyu gri  iri bir at getirdiler Aragorn'a; Aragorn ata bindi ";2
Sinirli bir şekilde arabaya binerken kapısını oldukça sert çekmiş ve eli sıkışmıştı ;2
Dikkatli bin şu bisiklete  her seferinde düşüp eve gelme ;2
Çünkü o bir Nazgul idi  şimdilerde kanatlı küheylanlara binen Dokuzlardan biri ;2
 Zaman azalıyor  o yüzden müsaadenizle dostlarım sizlere binmemiz lazım ;2
Çünkü bu bindiklerimiz gerçekten sizin atlarınız  senin de sormadan önce çok iyi bildiğin gibi  sanırım ;2
Fakat bu suretlerin birine güneş ışınları düşmüştü: Ak bir ata binmiş  genç bir adam ;2
Binden fazla kişi toplanmıştı ;1
 Bin kadar piyademiz var   dedi Sur'u koruyanların başındaki ihtiyar Gamling ;1
At binmek yorucu bir işmiş ;2
"Onun gerisinde  yamaçtan aşağıya aceleyle inen bin kadar piyade vardı; kılıçları da ellerindeydi ";1
Legolas ile Gimli birlikte tek bir ata biniyorlar  Gandalf'a yakın gidiyorlardı çünkü Gimli ormandan korkmuştu ;2
"Binlerce kişi  işçiler  hizmetkarlar  köleler  silahlarıyla savaşçılar kalabilirdi burada; kurtlar daha aşağıdaki derin mağaralarda besleniyordu ";1
Düşman'ın gidişini seyrettim: Yürüyüşe geçmiş  ucu bucağı olmayan ork sıraları  kocaman kurtlara binmiş birlikler ;2
 Senin ata eyersiz bindiğini bilmezdim Gandalf   dedi ;2
 Gölgeyele dışındaki atlara elf usulü binmem   dedi Gandalf ;2
Gölgeyele'ye binilmez: O ya seni taşımak ister  ya da istemez ;2
Nazgul'ü yakalamaya veya şu anda Nazgul'ün üzerine bindiği şeyi öldürmeye çalışabilir ;2
Ve şu anda bindikleri bu kanatlı yaratıklar büyük bir ihtimalle bütün canlılardan daha keskin görüşlüdür ;2
"Biz onlara kendi öykülerimizde Swerting'ler deriz; bunların dövüşürken füllere bindikleri söylenir ";2
 Keşke yüz tane fülümüz olsaydı da Gandalf bunların başında beyaz bir füle biniyor olsaydı   dedi ;2
Neden gittin Laurelindórenan'a ve neden yurduna kendi yolundan  sabah vakti Rohan’ın atlarına binerek gelmedin?;2
Yağmurlu günlerde o sevdiği üstü açık arabasına binemez ;2
 Ben fırtınanın eteklerine binip de geldim ;2
Ondan sonra benimle birlikte binersin ata  ;2
Birçoğu daha şimdiden at binmişti ;2
Kral atı Karyele'ye bindi  Merry de onun yanında midillisine oturdu: Midillinin adı Stybba idi ;2
Legolas ile Gimli atlarına bindiler ;2
Sen arabaya binmediğin için bisiklet aldım ki işe bisiklete binerek gidersin ;2
Bölük yeniden at bindi ve Gimli Legolas'ın yanına döndü ;2
"Sıra halinde biniyorlardı atlarına; akşam  koyu mavi bir alacakaranlık çöktü; yine de korku onları izliyordu ";2
"Dört gündür kesintisiz at binmişti; durmadan koyulaşan karanlık da yavaş yavaş içini karartıyordu ";2
"Kızın kalkanı bin parçaya bölündü  kolu da kırılmıştı; tökezlenip dizleri üzerine düştü ";1
Kimisinin ata bindiğini  kimisinin yürüdüğünü ama yine de hepsinin aynı hızda ilerlediklerini gördüm ;2
 Ve aramızda her biri bin zırhlı silahşöre bedel bir sürü isim var ;1
"Komutanlar yeniden atlarına binerek geriye sürdüler; Mordor ordusunda alaycı bir bağırıştır koptu ";2
Binlerce orkun arasında bir o yıvışık şey eksikti ;1
Her gün işe trene binerek gidiyorum ;2
Arkasını dönüp midillisine bindi ;2
Pippin  midillilere binmiş yarım düzine delikanlı ile uzaklaştı ;2
Onların ardından küçük gri bir midilliye binmiş ve görünüşe göre de uyuklayıp duran Bilbo geliyordu ;2
O zaman  gidecek olanlar mutlu oldu çünkü Gandalf'ın da onlarla aynı gemiye bineceğini biliyorlardı ;2
Otobüse binerek işe gittim bu yüzden geç kaldım ;2
Edward William Lane  Binbir Gece Masalları’nı İngilizceye çevirdi ;1
Arabaya binip hızla uzaklaştı ;2
– Binlerce insan Avustralya’da altına hücum etti ;1
İki yüz ila bin kişinin öldürüldüğü güne Kanlı Pazar adı verildi ;1
Uçağa binmekten korkuyormuş ;2
Epey ufak bir Tatar atına binmiş Livadia'ya doğru sürüyordu ;2
Piyer eve gitmek niyetiyle bir arabaya bindi ;2
Tekrar arabaya bindikleri sırada prenses oğluna:  — Ah  bilsen ne feci durumda  dedi ;2
Babası ölüm döşeğinde yatıyor  o ise nöbetçi komiseri bir ayının sırtına bindirip onunla eğleniyor ;2
— Demin sizi gördüm  ata binmiş gidiyordunuz ;2
Arabaya binip birkaç dakika hiç konuşmadan gittiler ;2
Kurmay subay ile Prens Andrey atlarına binip yollarına devam ettiler ;2
"Öndekinin sırtında bir yamçı  başında da kulaklıklı deri bir kasket vardı; beyaz bir ata binmişti ";2
Rostov’un hizmet gördüğü süvari bölüğü daha yeni at binmişti ki düşmanla burun buruna gelip durdu ;2
Gerçi yaralıların bırakılması için emir verilmişti ama birçoğu birliklerin peşinden sürükleniyor  toplara bindirilmeleri için yalvarıyorlardı ;2
Prens Vasiliy’in Ryazan’dakilerden dediği toprağa bağlı köylülerin verdikleri birkaç bin rublelik gelirdi ;1
Rostov kendi yerine kadar nasıl koştuğunu  atına nasıl bindiğini anlamamış  hissetmemişti ;2
Gözlerini açtığı anda önünde  düşmanın bulunduğu yerde binlerce sesin uzun uzun bağırıştığını duydu ;1
Birkaç bin süvari piyadenin önünden geçiyor  piyade onları beklemek zorunda kalıyordu ;1
Öbürü beyaz üniforma giymiş ve yağız bir aygıra binmişti ;2
Kimi geriye doğru dönüp havaya kurşun sıkıyor  kimi Kutuzov’un bindiği ata vuruyordu ;2
Muvazzaf orduya binde on  milise de binde dokuz asker çağrılması kararlaştırılmıştı ;1
Ben binlerce defa aşık olmuşumdur ;1
On binlerce kölenizi düşündünüz mü?;1
Rusya’da benim gibi binlercesi vardır ;1
O akşam Andrey’le Piyer arabaya binip Lısiye Gori’ye gittiler ;2
Bu  süvarilerin ata binen piyadelerle alay etmek için kullandıkları en ağır sözdü ;2
Hükümdar ata binip sokaktan dörtnala ileriye doğru gitti ;2
Harikulade güzel  cins bir Arap atına binmişti ;2
Hükümdarlar atlarına binip gittiler ;2
Yüzme biliyor  gayet güzel ata biniyor ;2
Sonunda  saat onu çeyrek geçe faytonlara binip gittiler ;2
— Onun nasıl ata bindiğine hayret ediyorsun değil mi Semyon?;2
— Güzel ata biniyor  ha?;2
Her bir köpeğe karşılık bir köy veriyorsunuz  sizinkiler biner rubleliktir ;1
Bin rublelikleri de bir rublelikleri de ;1
İşe bazen yürüyerek bazen de bisiklete binerek gidiyorum zira yaşadığım yer işime çok yakın ;2
"Petya’yı yerinden kaldırdılar; bir ölü gibi götürüp lineykaya yatırdılar; Nataşa ile Nikolay yaylı arabaya bindiler ";2
Haydi beni sırtına bindirip aşağıya götür  aşağıya ;2
Nataşa onun sırtına bindi  iki eliyle boynuna sarıldı ;2
Nikolay’ın kızağına Nataşa  Sonya  Madam Schoss ve iki genç kız bindiler ;2
Kuragin onu daha önce hazırlanmış gemiye bindirecek  Moskova’dan altmış verst ötede bulunan Kamenka köyüne götürecekti ;2
Ellerinin arasından onların kaç bin rütbesi geçmişti ;1
Balaga  öndeki gemiye bindi ve dirseklerini ta yukarıya kaldırarak acele etmeden dizginleri ayırdı ;2
Anatol ile Dolohov onun arabasına  Makarin  Hvostikov ve uşak öbür arabaya bindiler ;2
Kollarını kürküne güçlükle geçirebildi  kızağına bindi ;2
Bana gönderdiğiniz ve oralarda bunca gürültüye yol açan kitap için binlerce teşekkür ;1
5 Kırk bin kişi öldürüldü  müttefiklerimiz yok edildi  öyleyken şaka edebiliyorsunuz ;1
Deri dansçılarını avlamaya çıktıklarında Sithelerin çobanpüskülü taçlar takarak at bindiklerini biliyorum  o kadar ;2
Bir anda kellene bin dam ve bir düklük ödül kondu ;1
Fakat bugünlerde Üniversite’de binden fazla öğrenci okuyordu ;1
Kendi gözlerinizle gördüğünüz gibi bin kilometre içindeki en güzel kadındır ;1
Asırlar geçtikçe bin farklı koku  yapıyı oluşturan taşlara kadar sinmişti ;1
Bindiğim araba ağır ağır ve sarsılarak ilerlerken babamın dizginleri gevşekçe tutması ;2
Bu söz binlerce Ruh’un sistematik bir şekilde katledilmesini alaya almakta kullanılır ;1
Annesi onun motosiklete binmesine izin vermedi ;2
Yapacak bin tane daha önemli işim var ;1
Tabii Geoffrey atını çoktan sattı ve bir gemiye binecek parası da yok ;2
Şeyaltı’nda saklanabileceği bin farklı yer mevcuttu ;1
Bu taş bin senedir burada Sim ;1
Yarın at binip dövüşmem gerekiyor  demiş zırhlı adam ;2
Atur İmparatorluğu’nun en güçlü erkek ve kadınlarından binlercesini kanun kaçağı durumuna düşürdü ;1
Binlerce minik  düz façetayla kaplıydı ;1
Adını öğrenirse onu kılıcının yalımına yazabilir ve seni bin kilometre öteden öldürebilirmiş ;1
Eksi ikinci katta yüz farklı şehirden toplanmış bin yıllık mahkeme kayıtları duruyor ;1
Şu kız bisiklete binemiyor ;2
Eğer bin kilometre de haylazlıklarımı gizli tutmaya yetmiyorsa hiçbir şeyin yetmeyeceğini söyledi ;1
Yani en azından bir gemiye binmek zorundayım ;2
O zamana kadar binseniz iyi olur ;2
Artık binsem iyi olacak ;2
Bindiğim asansör  kenarlarında pirinç bir tırabzan bulunan etrafı açık bir kutudan ibaretti ;2
Sanki bin kere pratik yapmıştık ;1
Buna yetişmem lazım  yoksa geç kalacağım  dedi ıstıraplı bir yüzle ve yanımdan ayrılıp asansöre bindi ;2
Kilipsizler bin sene önce en az Alveron’unki kadar büyük bir güce sahiptiler ;1
Fakat Leoclosları Atur’un çöküşünden bin yıl evveline kadar dayandıran başka tarih kitapları da okudum ;1
Dahası yarın onunla buluşup at binmeye gidecektim ;2
Kilipsiz toprakları bin kilometre uzakta olmasaydı ona Üniversite’den aşina olduğu zannederdim ;1
On bin romantik şarkıyı  tiyatro eserini ve öyküyü bir araya toplamanın bir değeri olmalıydı ;1
Vaktimizi ata binmeye  yüzmeye  şarkı söylemeye veya akşamlara dek konuşmaya harcıyorduk ;2
Sarp’ın tepesine çıkan asansörlerden birine bindiğimde vakit gece yarısına yaklaşıyordu ;2
Yüzü aşağıdan gelen bin farklı ışıkla ancak kısmen aydınlanıyordu ;1
Kafelerde vakit öldürdük  tiyatro oyunları seyrettik  at binmeye gittik ;2
On bin ezgiyi ve güfteyi kendi avuçlarımın içinden daha iyi biliyordum ;1
Onu bir at arabasına bindirecekmişim gibi elimi uzattım ;2
Seninle ay ışığı altında bahçe patikalarında gezebilecek bin kız var  dedi Denna soluk soluğa ;1
Ben altı yaşındayken bisikletin nasıl binileceğini öğrendim ;2
Maer’in adı bin kilometre öteden bile seni korur  güvende tutardı ;1
Haydutları bulmak için bir düzine köyü yerle bir eder ve Eld’in bin dönümünü ateşe verir ;1
Ben trafik anında arabaya binmekten sıkıldım ;2
Bin yaşındaydı ve çoğu zaman yalnızdı ;1
Kendi adıyla yakalanan ayı ve çocukken duyduğum bin farklı peri masalını düşündüm ;1
Bin sene dillerden düşmeyecekti ;1
Amyr öyküleri biliyordu  ama hepsi bin senelikti ;1
Yine de bu hikayelerden bazı şeyler öğrendim: feyler hakkında bin tane küçük  karmakarışık husus ;1
Ne de olsa bin husus hiç de az değildir ;1
Bin senedir genç ve güzeldi ;1
Ben trenlere binmekten hoşlanırım ;2
Bill bisiklete binebilir ;2
açık bin kapı vardır dünyalarımız arasında ;1
Binlercesi ağacın dalları altındaki çimlere mücevherlerden oluşan bir battaniye gibi saçılmıştı ;1
Beni yere çaldı ve ata biner gibi üstüme oturdu ;2
Vashet’in dört dörtlük Aturcasından istifade ederek ona Tempi’nin anlayamayacağı kadar nükteli bin soru yönelttim ;1
Sonra omuzlarını eğdi ve dalların altından geçerek delicesine dönen binlerce yaprağın arasına daldı ;1
Halkına ait kutsal ağacın fırıl fırıl dönen binlerce bıçağı arasında elim sende oynama ;1
Resim boyayla yapılmayıp parlak mineli binlerce taşın birleştirilmesinden oluşmuştu ;1
Hareketi  Vashet’in son bir ay içerisinde beni cezalandırmak için bin kez yaptığıyla tıpatıp aynıydı ;1
Bir adım geri çekildi ve kılıcın ağırlığının ellerime bindiğini hissettim ;2
Bin gece uyumadıkça bundan kimseye bahsedemezsin ;1
Bin kilometre yol tepmedikçe bunu kimseye soramazsın ;1
Babamı doğru tanımışsam o isimleri en az bin kere ağzına almıştır ;1
O zamandan beri bin gece uyudum ve bin kilometreden fazla yol teptim Bast ;1
At binmeyi biliyor musun?;2
Eyerde uyuyasım vardı  fakat kızlar yürürken at binmeyi kendime yediremiyordum ;2
At binebilir misin  Pete?;2
Bil’in bindiği atı vurdular ;2
Üç bin yıl dayanmış  diye sesli düşündüm ;1
Rüzgarın adını söylemek bile her bin öğrenciden ancak birinin başarabileceği bir şeydir ;1
Ama bin sene  metali bırak taş için bile çok uzun bir süre ;1
Güneş  ardında sadece binlerce sevimli yıldızın iğne ucuyla deldiği gökyüzünün koyu mavisini bırakarak batmıştı ;1
Yine de tüm bu süre içinde bin yılın tarihi hakkında konuştuk ;1
Bin yılın en büyük savaşının eşiğinde olabiliriz  ama kimse bu gerçeği kabul etmek istemiyor ;1
Birkaç dakika içinde  binlerce yılın bilimi ve asırlık öğretiler neredeyse bütün yaşamın yıkımıyla sona erdi ;1
Ama geride kalacak adamın peşine binlerce Gnom düşecek ;1
Karhide burada  bin yıl hüküm süren Geger kralları buyruğunda bir ulus olmuş ;1
"Ereb Ocakları’nda birkaç bin kişi yaşıyordu; bunların yüz kırkı da benim Ocak’ımda  Ereb Tage’de idi ";1
İttu’yla birlikte sırtlarına eyersiz binip  onları iple idare ediyorduk ;2
Neredeyse gemiye biner binmez hasta olmaya başlamıştım ;2
Esdan Hainliydi  çok eski bir halka mensuptu  Yaramera’yı binlerce kere kurmuş ve bozmuş bir halka ;1
Yüzünde binlerce kırışıklıkla gülümsedi ;1
Bin yıl kadar önce Güney Hainlilerin  atalarını O gezegeninden getirdiği yamalarla birlikte dağlara çıkıyordu ;1
Yekpare yalan  birbirine zıt binlerce gerçek olarak yayılıyor ve benim istediğim de buymuş ;1
Binlerce kural vardı ama sadece buraya yazdığım zaman insana bu kadar karmaşık görünüyor ;1
Melekler gelip bize genç general Mesiwa’nın şehrin güneyindeki zengin kıyılardan bin barış askeri getirdiğini söyledi ;1
Geciktirme savaşında çekilmekte olan ordumuz binlerce yıldır ayakta duran büyük köprüyü yıktı ;1
Bütün bu zaman zarfında Domi’de doğu ordusunun üzerine yürüyebilecek durumdaki Mesiwa  geçitlerde bin adamıyla bekledi ;1
Bir midilliye binmek istiyorum ;2
Bir motosiklete binmek istiyorum ;2
Dört bin büyük bir sayı değildir ;1
Dört bin kişi büyük bir gen kaynağı değildir  ama dikkatlice seçilmiş ve ayarlanmış bir kaynaktır ;1
Şehre gitmek için arabasına bindi ;2
Isınmak için jimnastik salonuna giderken otobüse binmek için durağa gitti ;2
Bindiği taşıtta çıkan sorun yüzünden yarı yolda inmek zorunda kaldılar ;2
Sınıfın en genci Kim Jan gemiye bindiğinde on günlüktü ;2
Onu atın üstüne ilk bindirdiğinde daha 5 yaşında çocuktu ;2
 Bin bakalım şu atın üstüne  ;2
Binerken az kalsın yere düşecekti ve bu bile onu çok korkutmuştu ;2
Binmesini istediği araç çoktan gitmişti ;2
Yalnız başına binip gitmek zorunda olmaktan nefret etmişti ;2
Arabaya bin hadi  birazdan yola çıkacağız ;2
Yüzünde ufak bir tebessümle beraber ata binip gittiğinde Claire şaşkınlıkla kalakalmıştı ;2
Magnus yaptığı yanlışı fark ederken o çoktan gemiye binip gitmişti ;2
Yüzlerce asker aynı anda atlarına binmesiyle büyük bir hareketlilik meydana geldi ;2
Harrietta at binmek için güzel bir gün olduğunu düşünmüştü ;2
Motosiklete ilk kez bindiğinde dehşete kapılmıştı ;2
Yolcular uçağa binerken pasaport kontrolünden geçirilir ;2
Frank'a gitmek için otobüse mi yoksa uçağa mı binse karar verememişti ;2
Her gün şehir merkezine gitmek için ata biner ;2
Bindikten sonra eyerlerini sıkıca tuttu ;2
Dikkatlice biner ve oturuşunu dikleştirir ;2
Arabaya bin dediğinde gözlerini üstüne dikmiş bakıyordu ;2
Uçağa  otobüse  arabaya  motosiklete biner;2
Ayda bir uçağa biner ;2
Saat üçe doğru  mutluluktan ne yapacaklarını şaşıran çiftler  atlıkarıncaya binmiş eğleniyorlardı ;2
George yalnız başına yolculuk yapmak için her zaman bineceği otobüste yan koltuğu da alır ;2
O kadar talihsizce düşmüştü ki  aracın bütün ağırlığı adamın göğsüne biniyordu ;2
Ama sırtına binmeye gelmez ha ;2
Uçağa bin ve hemen buraya gel ki babanı son günlerinde yalnız bırakma;2
Otobüse biner ve hastaneye gider ;2
Adam çırılçıplaktı  kül rengindeydi ve toprak rengi bir ata binmişti ;2
Potaya bindiğini gördüğünde hocası ona yüksek sesle bağırdı ;2
Bu mösyönün ona binmesi büyük hata olurdu  falan filan ;2
Kedi mermerin üstüne biner ve gün boyu sokağı izler dururdu ;2
Gayet iri beygirlere binmiş dev gibi adamlardı ;2
İngiliz süvarileri sırtlarına binmişti ;2
18 Haziran 1815’te ata binmiş Robespierre alaşağı edildi ;2
Kayığa bin hemen  yoksa bizi yakalayacaklar ;2
Gemiye binerken korku odlu ifadeyle geriye baktı ;2
Orada bir arabaya bindi ve Rasathane meydanına kadar gitti ;2
Annesi ve babasının elinden tutarak tahterevalliye bindi ;2
Jean Valjean’ın Paris’te  Montfermeil arabasına binerken tutuklanmış olduğunu da hatırladı ;2
Javert kimseye bir şey söylemeden Planchette çıkmazındaki arabalarından birine binip Montfermeil’e doğru yola çıktı ;2
Çocukları arabaya bindir ve eşyalarını da yerleştir ;2
Onları uçağa bindir ;2
Marius  bu konuşmanın geçtiği günün akşamı  peşinde bir gözcü bulunduğundan habersiz  posta arabasına bindi ;2
Saat hesabı kiraladığı iki tekerlekli bir arabaya binmiş ve Latin mahallesine doğru rastgele yola koyulmuştu ;2
Marius koyunları aracın arkasındaki kasaya bindir ;2
Her seferinde uçağa bin  otobüse değil ;2
Havalimanından bir bilet al ve ilk sefere bin gel ;2
Çocuğu odadada kediyle bir başına bıraktıklarında çocuk kedinin üstüne binmeye çalışıyordu ;2
Ayin bitince kızıyla birlikte kiliseden çıktığını  arabaya bindiklerini gördüm ;2
"Koridor uzun  merdiven dik  Jondrette gevezeydi; Mösyö Leblanc şüphesiz henüz arabaya binmemişti ";2
Alınacak tek bir karar vardı  bu arabaya binip ötekini izlemek ;2
Arkadaşım onunla birlikte öbür arabaya binecek  karım da buraya gelip bize  İş oldu  tamam  diyecek ;2
Bin dediği otobüs doluydu ve başka bir tanesini beklemek zorunda kaldı ;2
Gavroche  teli önden tutan taşları biraz oynattı  telin üst üste binen iki kanadı ayrıldı ;2
Jale yanlışına bindi  onu hemen aramalıyız ;2
